country,year,iso_code,co2_per_capita,consumption_co2_per_capita,co2_per_gdp,consumption_co2_per_gdp,energy_per_capita,primary_energy_consumption,energy_per_gdp,gdp,population
Estonia,2019,EST,9.261298179626465,11.49742317199707,0.3257439136505127,0.4043942093849182,47301.4921875,62.76065826416016,1.663716197013855,37723175050.0,1326822.0
Eswatini,2019,SWZ,0.931616187095642,,0.119766779243946,,5847.5087890625,6.899387836456299,0.7517444491386414,9177836965.0,1179885.0
Ethiopia,2019,ETH,0.1484148055315017,0.1858853995800018,0.0774145126342773,0.0969595164060592,688.2274169921875,79.65364074707031,0.3589856624603271,221885291686.0,115737384.0
Finland,2019,FIN,7.68668794631958,10.247757911682127,0.1927749067544937,0.2570041418075561,59218.77734375,326.99151611328125,1.4851511716842651,220173891564.0,5521754.0
France,2019,FRA,4.812466144561768,6.734313488006592,0.119616687297821,0.1673853397369384,41554.38671875,2731.347412109375,1.0328588485717771,2644453795826.0,65729460.0
Gabon,2019,GAB,2.4726572036743164,,0.1593842506408691,,6705.38427734375,15.205873489379885,0.432220309972763,35180839675.0,2267711.0
Gambia,2019,GMB,0.2893204092979431,,0.1695410907268524,,804.5484619140625,1.9766525030136108,0.471463531255722,4192588256.0,2456847.0
Georgia,2019,GEO,2.7700440883636475,3.685063362121582,0.1691156774759292,0.2249790877103805,15727.646484375,59.7135009765625,0.9601983428001404,62188716739.0,3796722.0
Germany,2019,DEU,8.480802536010742,10.129374504089355,0.182341068983078,0.2177860885858535,44922.6953125,3753.70361328125,0.9658580422401428,3886392581475.0,83559184.0
Ghana,2019,GHA,0.5251359343528748,0.6993463635444641,0.1233763471245765,0.1643056273460388,2559.023681640625,79.99237823486328,0.6012214422225952,133049773378.0,31258943.0
Greece,2019,GRC,6.132932186126709,7.0264739990234375,0.2603271901607513,0.2982557713985443,29564.294921875,316.8872985839844,1.2549283504486084,252514250712.0,10718581.0
Guatemala,2019,GTM,1.1259984970092771,1.4387050867080688,0.1453111171722412,0.1856662034988403,5303.4892578125,90.7098388671875,0.684420108795166,132535316516.0,17103803.0
Guinea,2019,GIN,0.3148730397224426,0.469829797744751,0.1996060162782669,0.2978370189666748,1440.2781982421875,18.773088455200195,0.91302889585495,20561330331.0,13034349.0
Guinea-Bissau,2019,GNB,0.1303448230028152,,0.0885528847575187,,765.5215454101562,1.5063197612762451,0.5200754404067993,2896348420.0,1967704.0
Haiti,2019,HTI,0.2808446288108825,,0.1658996492624282,,1067.0260009765625,11.849499702453612,0.6303102374076843,18799472313.0,11105165.0
Honduras,2019,HND,1.1024681329727173,0.9118263125419616,0.2348217964172363,0.1942157745361328,4894.9599609375,48.6737060546875,1.0426090955734253,46684518271.0,9943637.0
